year,mth,all_drd,opioid_drd,non_opioid_drd,abscess,cellulitis,other_ssti,phlebitis,irid,all_staph,skin_staph,all_strep,skin_strep,tcodes,f11,other_staph,other_strep,time,covid,sstvi,invasive
2012,Jan,214,112,102,91,61,31,80,292,2496,610,1371,288,798,49,1886,1083,1,FALSE,263,29
2012,Feb,245,127,118,81,65,21,65,254,2386,591,1270,230,666,41,1795,1040,2,FALSE,232,22
2012,Mar,198,110,88,91,62,22,86,292,2433,613,1322,256,724,37,1820,1066,3,FALSE,261,31
2012,Apr,220,124,96,81,51,17,75,254,2473,588,1234,255,999,38,1885,979,4,FALSE,224,30
2012,May,229,129,100,82,68,22,69,270,2516,662,1290,272,1098,49,1854,1018,5,FALSE,241,29
2012,Jun,232,125,107,77,53,30,65,251,2535,642,1299,297,1096,46,1893,1002,6,FALSE,225,26
2012,Jul,241,128,113,90,90,22,79,319,2589,648,1299,287,1137,41,1941,1012,7,FALSE,281,38
2012,Aug,267,145,122,99,74,30,72,305,2627,697,1174,277,1069,43,1930,897,8,FALSE,275,30
2012,Sep,212,115,97,104,62,31,57,281,2513,722,1104,260,1134,55,1791,844,9,FALSE,254,27
2012,Oct,218,118,100,84,68,26,48,256,2651,711,1292,278,1054,45,1940,1014,10,FALSE,226,30
2012,Nov,219,130,89,112,46,33,61,287,2493,657,1276,279,1051,42,1836,997,11,FALSE,252,35
2012,Dec,238,140,98,108,55,21,75,291,2592,626,1368,250,955,38,1966,1118,12,FALSE,259,32
2013,Jan,257,147,110,90,39,34,84,277,2551,616,1444,301,1011,52,1935,1143,13,FALSE,247,30
2013,Feb,246,142,104,81,56,22,63,246,2290,568,1255,264,957,38,1722,991,14,FALSE,222,24
2013,Mar,292,168,124,101,58,21,59,269,2519,622,1372,283,1085,45,1897,1089,15,FALSE,239,30
2013,Apr,289,153,136,115,60,22,71,295,2642,666,1511,346,1080,42,1976,1165,16,FALSE,268,27
2013,May,257,151,106,116,56,28,66,309,2732,689,1494,336,1269,46,2043,1158,17,FALSE,266,43
2013,Jun,260,161,99,103,84,32,63,317,2597,673,1395,334,1285,65,1924,1061,18,FALSE,282,35
2013,Jul,257,134,123,106,86,33,101,372,2862,748,1388,343,1376,66,2114,1045,19,FALSE,326,46
2013,Aug,259,144,115,118,88,30,101,380,2700,699,1230,316,1361,61,2001,914,20,FALSE,337,43
2013,Sep,240,119,121,130,83,33,61,349,2758,743,1231,317,1170,55,2015,914,21,FALSE,307,42
2013,Oct,252,143,109,119,73,33,63,330,2688,720,1240,255,1200,63,1968,985,22,FALSE,288,42
2013,Nov,238,123,115,108,75,34,60,326,2568,687,1276,268,1191,49,1881,1008,23,FALSE,277,49
2013,Dec,268,147,121,112,73,30,67,323,2634,676,1341,298,1043,40,1958,1043,24,FALSE,282,41
2014,Jan,280,156,124,113,61,31,82,319,2630,692,1451,309,1229,59,1938,1142,25,FALSE,287,32
2014,Feb,257,145,112,98,55,26,76,297,2381,591,1443,290,1108,45,1790,1153,26,FALSE,255,42
2014,Mar,240,144,96,119,68,34,72,328,2581,642,1398,326,1224,51,1939,1072,27,FALSE,293,35
2014,Apr,266,169,97,117,87,42,78,372,2673,704,1454,320,1226,69,1969,1134,28,FALSE,324,48
2014,May,277,163,114,131,85,40,79,389,2755,784,1465,345,1335,76,1971,1120,29,FALSE,335,54
2014,Jun,315,156,159,107,89,40,87,377,2658,704,1369,324,1252,82,1954,1045,30,FALSE,323,54
2014,Jul,303,169,134,119,88,38,83,375,2922,798,1472,365,1303,77,2124,1107,31,FALSE,328,47
2014,Aug,258,136,122,134,75,51,75,388,2903,761,1337,322,1271,76,2142,1015,32,FALSE,335,53
2014,Sep,247,136,111,145,94,46,85,412,2909,801,1270,285,1240,73,2108,985,33,FALSE,370,42
2014,Oct,290,162,128,127,91,41,89,409,2921,762,1348,320,1166,67,2159,1028,34,FALSE,348,61
2014,Nov,278,143,135,168,88,26,68,403,2667,715,1378,309,1152,64,1952,1069,35,FALSE,350,53
2014,Dec,295,166,129,114,89,25,77,355,2678,678,1428,288,948,52,2000,1140,36,FALSE,305,50
2015,Jan,319,174,145,130,68,22,97,367,2823,691,1512,335,1044,71,2132,1177,37,FALSE,317,50
2015,Feb,301,174,127,128,71,23,59,339,2640,652,1531,315,1028,64,1988,1216,38,FALSE,281,58
2015,Mar,329,183,146,113,72,33,68,334,2789,736,1637,364,1164,78,2053,1273,39,FALSE,286,48
2015,Apr,315,191,124,138,80,35,86,400,2831,699,1690,408,1209,61,2132,1282,40,FALSE,339,61
2015,May,324,169,155,154,75,31,95,417,2795,721,1552,339,1328,77,2074,1213,41,FALSE,355,62
2015,Jun,310,167,143,148,104,53,95,466,2835,745,1566,367,1326,77,2090,1199,42,FALSE,400,66
2015,Jul,307,168,139,148,93,41,109,457,2995,818,1515,418,1334,79,2177,1097,43,FALSE,391,66
2015,Aug,325,186,139,148,115,44,100,480,3000,804,1450,370,1299,101,2196,1080,44,FALSE,407,73
2015,Sep,309,168,141,153,99,43,92,450,3034,784,1419,351,1225,76,2250,1068,45,FALSE,387,63
2015,Oct,290,160,130,161,105,46,78,457,3063,763,1503,347,1250,88,2300,1156,46,FALSE,390,67
2015,Nov,272,155,117,161,95,38,80,441,2955,791,1459,359,1194,82,2164,1100,47,FALSE,374,67
