Year of death registration,Usual residence code,Usual residence name,Substance,Deaths
2020,E12000001,North East,01 All drug poisonings,389
2020,E12000002,North West,01 All drug poisonings,771
2020,E12000003,Yorkshire and The Humber,01 All drug poisonings,550
2020,E12000004,East Midlands,01 All drug poisonings,321
2020,E12000005,West Midlands,01 All drug poisonings,433
2020,E12000006,East of England,01 All drug poisonings,386
2020,E12000007,London,01 All drug poisonings,432
2020,E12000008,South East,01 All drug poisonings,575
2020,E12000009,South West,01 All drug poisonings,455
2020,E92000001,England,01 All drug poisonings,4312
2020,J99000001,Non-residents,01 All drug poisonings,25
2020,K04000001,England and Wales,01 All drug poisonings,4561
2020,W92000004,Wales,01 All drug poisonings,224
2020,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",191
2020,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",378
2020,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",272
2020,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",155
2020,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",248
2020,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",170
2020,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",210
2020,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",264
2020,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",250
2020,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2138
2020,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",12
2020,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2263
2020,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",113
2019,E12000001,North East,01 All drug poisonings,332
2019,E12000002,North West,01 All drug poisonings,736
2019,E12000003,Yorkshire and The Humber,01 All drug poisonings,527
2019,E12000004,East Midlands,01 All drug poisonings,294
2019,E12000005,West Midlands,01 All drug poisonings,377
2019,E12000006,East of England,01 All drug poisonings,365
2019,E12000007,London,01 All drug poisonings,493
2019,E12000008,South East,01 All drug poisonings,550
2019,E12000009,South West,01 All drug poisonings,441
2019,E92000001,England,01 All drug poisonings,4115
2019,J99000001,Non-residents,01 All drug poisonings,38
2019,K04000001,England and Wales,01 All drug poisonings,4393
2019,W92000004,Wales,01 All drug poisonings,240
2019,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",172
2019,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",370
2019,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",272
2019,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",114
2019,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",213
2019,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",151
2019,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",237
2019,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",267
2019,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",221
2019,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2017
2019,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",22
2019,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2160
2019,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",121
2018,E12000001,North East,01 All drug poisonings,354
2018,E12000002,North West,01 All drug poisonings,647
2018,E12000003,Yorkshire and The Humber,01 All drug poisonings,484
2018,E12000004,East Midlands,01 All drug poisonings,296
2018,E12000005,West Midlands,01 All drug poisonings,383
2018,E12000006,East of England,01 All drug poisonings,398
2018,E12000007,London,01 All drug poisonings,493
2018,E12000008,South East,01 All drug poisonings,532
2018,E12000009,South West,01 All drug poisonings,396
2018,E92000001,England,01 All drug poisonings,3983
2018,J99000001,Non-residents,01 All drug poisonings,49
2018,K04000001,England and Wales,01 All drug poisonings,4359
2018,W92000004,Wales,01 All drug poisonings,327
2018,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",187
2018,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",359
2018,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",256
2018,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",127
2018,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",217
