code,name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
K04000001,ENGLAND AND WALES,4561,4393,4359,3756,3744,3674,3346,2955,2597,2652,2747,2878,2928,2640,2570,2762,2787,2623,2830,3093,2932,3110,2976,2817,2618,2540,2350,2178
E92000001,ENGLAND,4312,4115,3983,3482,3450,3416,3156,2734,2367,2425,2509,2675,2734,2433,2396,2589,2606,2425,2624,2884,2758,2932,2811,2644,2478,2388,2226,2069
E12000001,NORTH EAST,389,332,354,289,260,245,249,196,151,163,171,185,164,135,167,163,181,155,190,184,148,137,140,133,122,112,122,87
E06000047,County Durham,72,48,55,52,46,42,45,54,27,30,40,28,27,21,18,23,23,27,35,28,15,27,20,19,14,12,20,16
E06000005,Darlington,16,14,11,8,7,4,8,7,7,4,4,6,7,4,3,10,11,0,10,14,10,5,5,3,5,4,6,3
E06000001,Hartlepool,32,16,13,17,10,19,3,9,5,8,5,8,3,6,11,4,6,8,15,12,6,5,8,4,5,1,3,5
E06000002,Middlesbrough,35,34,25,21,18,18,29,9,10,9,12,9,9,8,13,21,17,18,13,23,9,6,10,4,9,6,7,4
E06000057,Northumberland,36,28,42,26,23,28,26,23,18,12,21,17,16,14,19,12,24,16,19,18,20,21,10,16,14,8,23,13
E06000003,Redcar and Cleveland,26,16,16,21,9,13,6,5,3,2,4,10,9,9,8,7,7,6,14,10,7,2,9,6,1,11,3,7
E06000004,Stockton-on-Tees,30,22,20,28,21,17,19,11,6,11,10,11,10,6,15,11,17,14,8,7,13,5,9,10,8,8,3,3
E11000007,Tyne and Wear (Met County),142,154,172,116,126,104,113,78,75,87,75,96,83,67,80,75,76,66,76,72,68,66,69,71,66,62,57,36
E08000037,Gateshead,30,28,36,25,25,14,26,10,10,20,13,20,12,13,8,13,14,12,22,16,11,13,12,15,14,15,13,10
E08000021,Newcastle upon Tyne,40,37,50,27,31,34,37,25,19,26,17,26,25,17,25,25,20,24,17,20,24,23,16,20,13,26,19,9
E08000022,North Tyneside,9,22,30,22,27,22,16,8,14,15,15,20,22,13,16,16,9,13,10,13,14,11,15,10,22,7,9,7
E08000023,South Tyneside,27,25,21,11,16,12,13,11,11,11,10,9,15,8,11,4,15,7,9,7,8,5,9,8,11,7,8,3
E08000024,Sunderland,36,42,35,31,27,22,21,24,21,15,20,21,9,16,20,17,18,10,18,16,11,14,17,18,6,7,8,7
