Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Ages,North East,2586986,2591333,2593948,2588661,2582715,2576450,2568066,2560883,2550314,2543421,2540090,2540600,2540461,2540502,2547127,2552568,2562045,2569312,2575441,2586868,2596441,2602387,2610563,2618736,2624579,2636589,2644727,2657909,2669941,2680763
Age 0,North East,34169,34597,32984,32584,31014,29740,30073,28736,27843,27030,25865,25777,26612,27533,27807,28925,29065,30252,29553,30272,30640,30560,29665,28894,28345,28645,28036,27275,26621,25311
Age 1,North East,33561,34411,34690,32718,31926,30970,29823,30098,28639,27786,27155,26058,25928,26658,27542,27836,29075,29169,30179,29569,30270,30766,30721,29834,29151,28623,28959,28355,27612,26882
Age 2,North East,33643,33640,34497,34561,32644,31835,30777,29848,29866,28694,27789,27343,26261,25961,26650,27523,27935,29257,29188,30177,29641,30443,30948,30934,30039,29451,28863,29293,28621,27877
Age 3,North East,34897,33807,33776,34570,34559,32655,31792,30752,29916,29895,28757,27926,27468,26369,25952,26660,27517,27946,29267,29143,30196,29738,30605,31138,31166,30292,29691,29138,29575,28895
Age 4,North East,34614,34937,33834,33731,34600,34483,32531,31713,30590,29974,29915,28900,28068,27524,26473,25996,26734,27475,27890,29352,29246,30328,29846,30787,31319,31370,30547,30008,29315,29813
Age 5,North East,35053,34705,35024,33802,33712,34628,34388,32485,31649,30482,30084,30054,29072,28195,27553,26513,26069,26718,27386,27850,29468,29247,30420,29989,30886,31457,31551,30795,30224,29512
Age 6,North East,34761,35064,34657,34879,33709,33640,34507,34235,32414,31593,30504,30193,30203,29190,28297,27599,26612,26080,26645,27337,27796,29464,29311,30545,30036,31044,31641,31781,30960,30386
Age 7,North East,33498,34731,35048,34568,34809,33612,33536,34478,34180,32306,31576,30554,30324,30286,29206,28328,27698,26693,26099,26639,27241,27850,29578,29408,30624,30133,31215,31880,31956,31170
Age 8,North East,33384,33414,34716,34956,34503,34710,33507,33450,34385,34049,32273,31649,30627,30434,30371,29317,28439,27747,26751,26064,26605,27294,27864,29679,29498,30704,30272,31362,32027,32135
Age 9,North East,33432,33358,33351,34610,34869,34432,34595,33430,33279,34304,33999,32260,31705,30693,30458,30434,29389,28570,27795,26790,26076,26660,27371,27926,29768,29664,30872,30492,31543,32174
Age 10,North East,33802,33448,33385,33224,34567,34881,34378,34572,33313,33265,34356,34074,32279,31681,30721,30502,30554,29424,28656,27872,26879,26118,26693,27480,28013,29913,29799,31024,30703,31686
Age 11,North East,34669,33756,33410,33236,33059,34482,34742,34213,34375,33190,33260,34321,34132,32300,31651,30698,30571,30612,29485,28768,27959,26912,26215,26781,27549,28097,30028,30014,31194,30906
Age 12,North East,33484,34513,33660,33220,33072,32875,34277,34550,34085,34172,33006,33106,34279,34088,32307,31624,30719,30595,30653,29594,28861,27952,26969,26300,26860,27672,28253,30122,30129,31329
Age 13,North East,29729,33513,34556,33609,33188,33054,32709,34145,34384,34029,34132,32850,32981,34140,34059,32241,31598,30760,30629,30711,29662,28875,27981,27071,26391,26940,27774,28377,30285,30258
Age 14,North East,28666,29651,33386,34353,33413,33009,32786,32446,33931,34212,33920,33912,32697,32715,34044,33990,32258,31578,30765,30687,30743,29699,28901,28072,27159,26473,27084,27826,28445,30424
Age 15,North East,30686,28698,29724,33310,34332,33396,32924,32703,32312,33759,34269,33727,33833,32621,32592,34109,34188,32421,31719,30900,30927,30823,29795,29007,28182,27308,26675,27256,28077,28652
Age 16,North East,31951,31012,28812,29697,33303,34337,33359,32955,32833,32300,33988,34193,33546,33728,32594,32608,34330,34425,32593,31901,31131,31045,30957,29983,29146,28368,27438,26907,27511,28362
Age 17,North East,32284,31476,30824,28683,29522,33166,34165,33215,32965,32646,32465,33876,34187,33336,33740,32728,32676,34568,34732,32869,32119,31258,31258,31156,30233,29489,28713,27770,27259,27866
Age 18,North East,34713,31947,31392,30006,27673,28289,31835,32990,32481,32055,32324,32855,34106,34515,33716,34424,33462,33332,35241,35577,33730,32919,32129,32164,31995,31077,30512,29662,28888,28328
Age 19,North East,38458,35963,32611,32561,30252,27623,28061,31883,33417,32867,33150,34493,34601,36184,37020,36466,37286,36410,36440,38663,39080,37340,37024,36012,35886,35265,34877,34522,33611,33383
Age 20,North East,40309,38880,36396,34041,33386,31451,29230,30105,34224,35403,34423,34310,35620,35731,37556,38149,37548,38309,37610,38048,40272,40461,38188,38488,37366,37336,36558,36669,36055,35284
Age 21,North East,38201,39508,38103,36272,33254,32550,30643,28463,29823,33224,34106,33748,33480,34753,34953,36976,37408,36447,37280,37716,38082,39973,40055,38012,38101,37230,37060,36451,36399,36140
Age 22,North East,37731,37209,38605,36985,35125,32205,31359,29316,27498,28456,31742,33227,32778,32678,33983,34310,36137,36252,35056,36516,36374,37057,39166,39119,37107,37051,35909,36113,35413,35693
Age 23,North East,37624,37133,36668,37249,35834,33801,30909,29679,28402,26603,27500,31005,32491,32366,32351,33453,33773,35194,35230,34325,35646,35130,36185,38020,38177,36381,35764,34843,34700,34704
Age 24,North East,38653,37432,37006,35419,36765,35398,33049,30245,29018,27764,26128,27198,30452,32264,32367,32322,33296,33220,34510,34817,33871,34809,34613,35528,37467,37799,35594,35331,34123,34348
Age 25,North East,39659,38739,37482,35859,35160,36462,34984,32538,29273,28535,27478,26073,26922,30293,32426,32239,32314,32881,32742,34106,34406,33448,34480,34199,35067,37310,37414,35511,35082,34051
Age 26,North East,40906,39677,38755,36919,35761,35100,36209,34878,31585,28938,28213,27411,25918,26838,30567,32420,32335,32061,32542,32487,33702,34009,33155,34132,33933,35114,37003,37312,35489,35187
Age 27,North East,40824,40935,39765,38514,36923,35828,35084,36260,34115,31331,28867,28204,27413,25934,27099,30657,32623,32314,31890,32406,32233,33447,34046,32974,33929,33948,34953,37037,37202,35692
Age 28,North East,40788,40803,40845,39561,38443,36890,35804,35079,35442,33854,30991,29000,28167,27493,26308,27346,30923,32647,32359,31908,32246,31919,33392,33880,32775,33938,33890,35055,37182,37513
Age 29,North East,40353,40929,40893,40691,39617,38527,36929,35896,34735,35419,33794,31135,29003,28330,27883,26582,27711,30993,32787,32434,31915,32060,31979,33167,33829,32861,33860,34080,35165,37376
Age 30,North East,39300,40345,40847,40611,40431,39397,38245,36803,35590,34725,35379,33820,31164,28953,28596,28026,26719,27907,31137,32741,32299,31711,32095,31876,33002,33935,32876,34032,34128,35409
Age 31,North East,38459,39311,40399,40727,40520,40293,39283,38215,36491,35598,34696,35518,33890,31222,29222,28724,28222,26885,28074,31230,32742,32168,31751,31935,31764,33096,33869,33030,34102,34327
Age 32,North East,38140,38498,39335,40332,40627,40446,40138,39204,37866,36519,35668,34668,35644,33885,31388,29410,28806,28439,26984,28129,31266,32533,32167,31613,31969,31912,33034,34026,33245,34349
Age 33,North East,37835,38079,38387,39055,40175,40411,40175,39889,39007,37857,36493,35718,34745,35663,34059,31485,29521,29013,28635,27132,28224,31097,32474,31994,31525,32093,31917,33242,34140,33447
Age 34,North East,36585,37831,38034,38176,38814,40000,40152,39994,39676,38901,37945,36528,35798,34832,35973,34122,31644,29633,29205,28825,27278,28061,30993,32346,31805,31598,32084,32131,33395,34356
Age 35,North East,35171,36579,37788,37884,37927,38540,39764,39915,39819,39437,38893,38028,36526,35762,35007,36067,34398,31739,29732,29346,28880,27121,28026,30927,32247,31879,31621,32167,32114,33596
Age 36,North East,34100,35240,36634,37778,37781,37826,38405,39670,39721,39664,39433,38872,38039,36572,35935,35105,36337,34481,31859,29796,29415,28791,27132,27966,30853,32326,31905,31745,32265,32214
Age 37,North East,34419,34073,35178,36506,37606,37603,37583,38185,39498,39510,39597,39563,38884,37990,36718,35952,35236,36461,34529,31998,29878,29257,28729,27116,27883,30907,32250,32064,31911,32390
Age 38,North East,34382,34447,34106,35142,36435,37493,37452,37428,37965,39399,39524,39633,39582,38899,38106,36768,36049,35294,36600,34624,31998,29792,29210,28687,27080,27950,30922,32369,32091,31974
Age 39,North East,33524,34381,34491,34071,35042,36401,37426,37372,37215,37776,39363,39579,39602,39627,39026,38001,36860,36075,35362,36691,34638,31895,29806,29178,28689,27143,27936,31104,32390,32209
Age 40,North East,34056,33611,34371,34518,34054,35063,36369,37399,37049,37072,37647,39438,39575,39559,39663,38917,38013,36783,36119,35417,36761,34557,31871,29698,29168,28781,27118,28063,31135,32440
Age 41,North East,34885,34108,33715,34384,34530,34103,35049,36361,37236,36956,37013,37729,39398,39528,39595,39591,38930,37936,36810,36068,35416,36620,34541,31826,29635,29125,28726,27207,28122,31195
Age 42,North East,36016,34910,34116,33680,34281,34506,34022,34983,36175,37183,36879,37026,37734,39317,39508,39454,39613,38796,37923,36751,35970,35331,36605,34469,31817,29667,29132,28854,27288,28175
Age 43,North East,38069,35992,34879,33941,33554,34121,34377,33928,34885,36139,37195,36997,37056,37712,39370,39427,39440,39577,38785,37874,36726,35896,35270,36560,34450,31862,29668,29187,28879,27343
Age 44,North East,41663,38110,35985,34795,33838,33470,33993,34294,33847,34771,36105,37221,37018,36928,37670,39257,39469,39366,39574,38726,37799,36609,35858,35165,36514,34527,31864,29763,29145,28938
Age 45,North East,31894,41410,38076,35827,34642,33702,33351,33855,34181,33795,34691,35851,37130,36948,36877,37670,39183,39414,39309,39563,38691,37741,36534,35774,35122,36498,34504,31882,29785,29171
Age 46,North East,31387,31957,41205,38033,35716,34567,33579,33284,33727,34104,33737,34498,35786,37103,36973,36849,37632,39132,39436,39304,39525,38557,37700,36460,35731,35145,36423,34519,31867,29789
Age 47,North East,31067,31346,31906,40907,37881,35575,34391,33389,33189,33636,34025,33563,34422,35646,37050,36939,36728,37528,39081,39402,39313,39438,38508,37642,36409,35723,35102,36464,34581,31856
Age 48,North East,28591,30949,31330,31927,40652,37817,35423,34281,33279,33147,33522,33838,33482,34290,35548,36974,36902,36678,37477,38984,39338,39175,39377,38449,37631,36384,35721,35143,36492,34635
Age 49,North East,27334,28529,30797,31257,31842,40425,37695,35262,34117,33150,33034,33330,33712,33319,34157,35417,36838,36860,36663,37454,38919,39301,39055,39327,38398,37617,36355,35738,35149,36572
Age 50,North East,26263,27239,28477,30617,31231,31840,40186,37636,35055,34042,33026,32913,33252,33501,33183,33968,35351,36822,36852,36554,37338,38826,39179,38939,39332,38352,37488,36385,35720,35223
Age 51,North East,28273,26230,27119,28370,30468,31152,31750,39924,37391,34857,33928,32983,32727,33087,33417,33030,33877,35247,36771,36746,36478,37235,38752,39096,38929,39279,38290,37528,36420,35714
Age 52,North East,28768,28200,26212,26974,28277,30298,31043,31670,39709,37305,34747,33843,32786,32476,32973,33250,32928,33833,35186,36669,36710,36331,37080,38633,39057,38915,39242,38223,37573,36388
Age 53,North East,29401,28681,28047,26066,26818,28159,30064,30911,31553,39437,37169,34631,33688,32617,32301,32782,33118,32801,33734,35062,36533,36589,36234,37002,38579,38982,38815,39237,38213,37571
Age 54,North East,28645,29328,28626,27897,25992,26681,28045,29839,30843,31563,39083,36977,34452,33506,32497,32040,32667,32981,32610,33640,34934,36402,36474,36073,36857,38544,38922,38759,39253,38163
Age 55,North East,27613,28507,29179,28475,27718,25888,26479,27888,29628,30696,31448,39019,36761,34281,33359,32350,31877,32507,32787,32456,33542,34813,36294,36356,35978,36815,38507,38912,38684,39187
Age 56,North East,27942,27481,28340,28999,28313,27513,25729,26302,27758,29365,30563,31299,38906,36459,34088,33145,32214,31681,32343,32597,32295,33363,34689,36193,36260,35854,36793,38478,38887,38652
Age 57,North East,27432,27726,27293,28131,28768,28116,27330,25586,26094,27540,29129,30339,31004,38743,36223,33899,32935,32040,31463,32221,32404,32105,33295,34564,36091,36174,35748,36723,38410,38852
Age 58,North East,27345,27239,27469,27082,27889,28598,27910,27142,25385,25870,27349,29040,30104,30760,38629,35981,33715,32736,31875,31258,32075,32229,31956,33145,34427,35933,36043,35688,36700,38314
Age 59,North East,28325,27119,26988,27180,26878,27650,28357,27696,26878,25209,25674,27156,28868,29870,30519,38479,35742,33525,32489,31670,30988,31875,32004,31789,32997,34321,35840,36022,35591,36658
Age 60,North East,29178,28052,26873,26727,26924,26720,27396,28154,27482,26617,25065,25516,26949,28630,29607,30199,38307,35494,33279,32357,31495,30788,31661,31806,31649,32855,34189,35768,35918,35494
Age 61,North East,28474,28797,27668,26651,26402,26580,26430,27083,27854,27273,26372,24811,25337,26645,28429,29283,29841,38086,35175,33062,32093,31248,30579,31427,31615,31471,32748,34034,35625,35760
Age 62,North East,28013,28015,28344,27270,26344,26060,26216,26124,26735,27584,27011,26135,24525,25100,26341,28193,28983,29540,37963,34898,32843,31879,31014,30406,31190,31455,31348,32577,33882,35487
Age 63,North East,26844,27516,27502,27892,26870,25969,25700,25848,25819,26426,27293,26719,25860,24203,24824,26036,27895,28705,29206,37781,34531,32557,31592,30765,30193,30998,31216,31182,32437,33725
Age 64,North East,27613,26312,26999,27002,27480,26405,25605,25336,25402,25554,26149,26909,26397,25503,23845,24473,25692,27688,28412,28892,37532,34255,32312,31312,30502,29957,30803,31030,31030,32222
Age 65,North East,28236,27092,25754,26377,26422,26960,25900,25208,24906,25028,25294,25758,26437,25977,25150,23388,24144,25450,27483,28126,28562,37157,33936,31963,31018,30219,29674,30638,30802,30802
Age 66,North East,27539,27575,26525,25153,25806,25880,26443,25422,24772,24530,24664,24895,25323,25991,25585,24678,22958,23853,25143,27279,27794,28224,36756,33609,31673,30739,29958,29404,30408,30557
Age 67,North East,27063,26818,26847,25842,24528,25140,25262,25849,24884,24349,24124,24259,24432,24835,25534,25033,24232,22617,23546,24863,27058,27440,27841,36349,33159,31350,30416,29644,29121,30112
Age 68,North East,25743,26258,26094,26043,25177,23834,24567,24643,25267,24352,23896,23659,23816,23867,24371,25022,24596,23857,22184,23236,24473,26668,27028,27464,35962,32751,31035,30096,29323,28805
Age 69,North East,26492,24939,25463,25379,25274,24496,23128,23845,24025,24673,23813,23294,23109,23269,23353,23834,24554,24187,23439,21783,22843,24103,26251,26652,27067,35448,32313,30588,29725,28903
Age 70,North East,26552,25610,24145,24520,24506,24491,23713,22470,23150,23364,24013,23195,22683,22524,22775,22752,23334,24011,23673,22986,21351,22423,23680,25850,26155,26700,34942,31836,30183,29297
Age 71,North East,27314,25499,24643,23250,23564,23543,23624,22886,21707,22457,22656,23352,22532,22099,21918,22223,22165,22832,23512,23209,22506,20959,21979,23246,25332,25672,26285,34363,31426,29715
Age 72,North East,18490,26112,24439,23601,22398,22645,22661,22718,22102,20950,21731,21899,22627,21846,21448,21236,21677,21611,22287,22952,22691,22010,20484,21474,22745,24840,25154,25755,33758,30809
Age 73,North East,16593,17718,24930,23385,22539,21477,21695,21755,21776,21271,20251,20963,21188,21863,21128,20755,20615,21110,21005,21712,22373,22118,21464,20059,20976,22228,24327,24656,25248,33023
Age 74,North East,16469,15803,16910,23667,22292,21553,20484,20697,20781,20803,20392,19429,20167,20375,21047,20363,20013,19980,20513,20355,21120,21817,21563,20939,19562,20463,21659,23751,24129,24663
Age 75,North East,16796,15551,14969,16050,22398,21125,20401,19438,19624,19848,19889,19437,18623,19251,19594,20192,19648,19315,19292,19931,19662,20520,21164,20948,20335,19006,19867,21060,23136,23451
Age 76,North East,17572,15814,14690,14123,15268,21123,20012,19382,18421,18649,18938,18946,18508,17749,18350,18840,19384,18865,18593,18565,19280,18995,19852,20514,20238,19712,18423,19326,20472,22422
Age 77,North East,16118,16441,14758,13743,13269,14437,19846,18914,18265,17413,17644,17943,18008,17553,16857,17492,17947,18478,18029,17856,17879,18599,18286,19221,19732,19510,19015,17792,18708,19734
Age 78,North East,14869,14926,15271,13740,12815,12385,13556,18510,17766,17204,16428,16623,16896,16991,16628,15995,16650,17142,17602,17226,17077,17142,17821,17595,18450,18969,18786,18277,17182,17906
Age 79,North East,13726,13718,13834,14216,12744,11901,11459,12755,17248,16521,16206,15412,15600,15812,15934,15657,15100,15800,16248,16680,16420,16294,16330,17099,16803,17722,18144,17998,17539,16386
Age 80,North East,12459,12596,12614,12753,13156,11752,10981,10618,11950,15957,15406,15106,14294,14507,14744,14908,14680,14245,14830,15329,15766,15614,15442,15501,16218,15981,16918,17250,17158,16625
Age 81,North East,11217,11388,11523,11539,11668,12045,10723,10124,9752,11158,14716,14210,14012,13229,13414,13700,13888,13597,13330,13940,14409,14868,14736,14630,14641,15341,15153,16016,16364,16170
Age 82,North East,10631,10162,10364,10459,10507,10612,10901,9736,9257,8953,10379,13412,13066,12897,12155,12363,12653,12820,12529,12441,12953,13482,13854,13839,13691,13767,14452,14243,15159,15310
Age 83,North East,9112,9531,9098,9310,9457,9490,9584,9854,8777,8409,8167,9536,12156,11875,11757,11096,11372,11590,11804,11621,11467,12029,12568,12948,12823,12749,12825,13440,13345,14109
Age 84,North East,7992,8085,8487,8166,8319,8426,8516,8616,8843,7808,7563,7373,8710,10834,10713,10691,10117,10316,10531,10852,10623,10558,11003,11627,11887,11810,11738,11847,12509,12247
Age 85,North East,-,-,-,-,-,-,-,-,-,-,7112,6731,6614,7905,9669,9582,9652,9084,9257,9559,9810,9638,9579,10069,10539,10888,10746,10697,10851,11364
Age 86,North East,-,-,-,-,-,-,-,-,-,-,6937,6306,5930,5811,7067,8539,8551,8596,8091,8310,8526,8863,8591,8673,8993,9520,9869,9648,9793,9734
Age 87,North East,-,-,-,-,-,-,-,-,-,-,5970,6017,5492,5186,5101,6288,7497,7586,7548,7183,7407,7595,7808,7661,7687,7980,8479,8783,8725,8646
Age 88,North East,-,-,-,-,-,-,-,-,-,-,4936,5158,5193,4745,4461,4438,5531,6434,6595,6691,6345,6531,6659,6893,6647,6726,6978,7436,7825,7607
Age 89,North East,-,-,-,-,-,-,-,-,-,-,4057,4188,4383,4391,4025,3830,3750,4835,5445,5641,5754,5464,5625,5854,5840,5761,5775,5939,6511,6658
Aged 90+,North East,-,-,-,-,-,-,-,-,-,-,14034,14359,14706,15153,15427,15435,15412,15068,15821,17126,18408,19526,19936,20866,21061,21711,21972,21889,22608,22576
All Ages,North West,6843039,6841029,6846740,6838904,6827940,6809646,6794378,6792173,6773115,6774223,6772985,6784880,6814660,6840369,6870021,6901585,6929277,6958547,6986156,7019921,7055961,7084470,7103488,7133026,7175178,7223961,7258627,7292093,7341196,7367456
Age 0,North West,97072,95435,90804,89816,85211,82516,84765,80657,79676,76876,74406,74337,76126,79147,81059,82876,84310,87648,86545,87136,87942,89686,87192,86243,85981,86789,85111,82452,81258,78513
Age 1,North West,94732,96662,95203,90035,88190,84678,82318,84535,80466,79355,76765,74877,74763,76180,79066,80929,83234,84318,87521,86106,86741,88407,90290,87819,87122,86830,87667,85872,83359,82043
Age 2,North West,94072,94615,96692,95062,89962,87882,84289,82614,84462,80500,79084,77136,75428,75040,76204,79013,80923,83406,84484,87373,85888,87184,88910,90839,88520,88056,87707,88492,86681,84077
Age 3,North West,95967,93998,94622,96589,94913,89739,87555,84244,82709,84526,80461,79555,77611,75781,75269,76152,78965,80862,83534,84646,87485,86229,87426,89523,91458,89288,88815,88455,89238,87364
Age 4,North West,93080,95855,94017,94530,96553,94779,89515,87523,84188,83202,84515,80894,80062,77924,76177,75245,76266,78854,80712,83762,84927,87722,86559,87799,90191,92219,89938,89500,89101,89807
Age 5,North West,93924,93065,95896,93901,94326,96344,94509,89583,87375,84135,83476,84989,81342,80533,78042,76310,75316,76135,78856,80615,83951,85089,88024,87007,88465,90790,92756,90453,90059,89619
Age 6,North West,93648,93793,93127,95744,93847,94185,96067,94495,89448,87267,84095,83894,85385,81711,80772,78134,76488,75313,76169,78712,80496,84091,85320,88304,87566,88959,91306,93237,90982,90532
Age 7,North West,89485,93401,93524,92922,95430,93409,93685,95846,94192,89416,87029,84353,84363,85651,81811,80984,78339,76721,75414,76111,78524,80704,84299,85596,88725,88092,89390,91696,93708,91422
Age 8,North West,89792,89190,93282,93213,92735,95104,93141,93576,95837,94180,89549,87229,84712,84731,85788,81965,81195,78492,76867,75459,76017,78643,80931,84603,86005,89085,88551,89815,92143,94123
Age 9,North West,88667,89390,89076,93076,92900,92488,94804,92997,93378,95762,94183,89650,87547,85042,84855,85999,82166,81475,78687,77070,75488,76334,78842,81158,84970,86440,89474,88935,90224,92572
Age 10,North West,88651,88347,89165,88944,92930,92602,92340,94656,92858,93318,95857,94322,89903,87709,85210,85021,86286,82380,81768,78966,77255,75807,76552,79123,81567,85334,86883,89973,89295,90601
Age 11,North West,89838,88504,88372,88989,88864,92864,92462,92464,94602,92803,93394,95905,94567,89922,87788,85335,85327,86478,82641,82113,79207,77532,76096,76756,79636,82045,85797,87341,90415,89737
Age 12,North West,85986,89305,88219,87897,88463,88488,92608,92268,92203,94250,92655,93285,96113,94487,89953,87891,85542,85502,86814,82992,82454,79589,77823,76348,77195,80069,82517,86249,87728,90742
Age 13,North West,79279,85878,89366,88088,87786,88322,88595,92567,92187,92222,94437,92389,93318,96083,94371,89997,88129,85627,85871,87118,83281,82741,79827,78097,76707,77622,80454,82953,86690,88109
Age 14,North West,77503,78899,85682,88978,87756,87531,88052,88348,92279,91872,92150,93950,92238,93066,96046,94329,90058,88203,85795,86194,87472,83610,82927,80169,78549,77141,78067,80950,83418,87056
Age 15,North West,82029,77626,78998,85609,88876,87547,87414,87829,88198,92021,92072,91562,93942,92114,93204,96372,94605,90365,88705,86288,86769,87646,83820,83226,80725,79133,77671,78578,81408,83873
Age 16,North West,85877,81706,77557,78765,85365,88588,87331,86920,87458,87944,92338,91651,91267,93691,92041,93360,96649,94941,90867,89189,86866,86999,87813,84205,83622,81216,79509,78127,79039,81788
Age 17,North West,87708,85407,81618,77287,78544,85214,87994,86766,86255,86383,87828,92021,91650,90835,93606,92170,93535,96944,95309,91257,89868,86914,87113,88167,84575,84332,81663,80069,78714,79603
Age 18,North West,94056,86293,84343,78571,73255,73669,79907,84126,83715,83546,84596,87627,92287,91691,91117,94038,92726,94209,97713,95772,92173,90378,86981,87326,88813,85546,85271,82608,80952,79779
Age 19,North West,100066,93244,85595,81644,74512,68416,68327,77084,81480,81323,82400,85113,88149,93503,93045,92995,95579,93870,95271,98224,97402,93145,89839,87681,88765,90520,87099,87952,84994,84030
Age 20,North West,103540,99845,93714,85827,83018,76750,71702,74088,81203,85594,84554,83968,87146,90061,95557,95115,94303,96771,95212,97614,101337,99421,94293,92129,90658,91602,93082,89527,91320,87983
Age 21,North West,101714,102629,99260,92613,85139,82091,76258,71739,74133,80865,84631,84979,85342,88550,91867,96769,95859,94428,96615,96668,99687,102148,99720,95261,93826,92269,92983,94081,91408,92353
Age 22,North West,103879,100968,102061,98789,92426,84872,81771,75661,72135,74160,79784,85047,86342,87309,90504,93755,97623,96229,93598,97515,97919,100172,102638,100245,96266,94977,92758,93451,95116,92352
Age 23,North West,102488,102721,100192,100872,98651,91780,84410,80395,75206,72365,73868,79864,86042,87712,88771,91974,94220,97405,95727,93731,97584,97639,99878,102538,101032,97206,95073,93209,94588,95875
Age 24,North West,104952,101754,102555,99724,100877,98255,91149,84050,79245,75447,72614,73936,80594,87356,89057,90103,92779,94071,96712,95998,93628,97205,97016,99461,102698,101450,96943,95200,94368,95488
Age 25,North West,106807,104539,101643,101887,99594,100236,97436,90552,82022,79083,75367,72914,74888,81479,88417,89610,90647,92412,93111,96076,95146,93382,96672,96586,99625,103440,101354,97121,96138,94712
Age 26,North West,110302,106135,104458,101357,101732,99181,99634,97184,88752,81992,78856,75849,74018,75732,82569,89208,90173,90599,91957,92485,95310,94753,93162,96534,97123,100162,103256,101275,97974,96773
Age 27,North West,110583,109378,105687,103865,100857,100999,98566,99311,95344,88624,81863,79314,77149,75049,76919,83702,90083,90418,90714,92234,92327,95075,94334,92952,96905,97843,99950,103335,102347,98429
Age 28,North West,108727,109457,109069,105435,104146,101011,101057,98898,98039,95311,87998,82585,80563,78172,76204,78122,84909,90655,90533,91124,92605,92259,94713,93993,93211,97520,97811,100103,104117,102627
Age 29,North West,107063,107848,108714,108858,105449,104144,101079,101181,97627,98129,95087,88631,83732,81559,79370,77275,79285,85773,91248,91023,91625,92304,92019,94629,94689,93968,97670,97835,100871,104380
Age 30,North West,104246,106504,107624,108544,108566,105073,103962,101284,100203,97983,98105,95359,89454,84047,82364,80158,77650,79907,86426,91614,91179,91384,92091,91932,94868,95193,93981,97770,98316,101024
Age 31,North West,98799,103600,106203,107432,107899,108006,104604,103989,100858,100495,98194,98668,96158,90003,84799,83076,80623,78246,80384,86956,91921,91233,91237,91929,92247,95166,95260,94059,98476,98784
Age 32,North West,96514,98448,103236,105863,106957,107239,107545,104502,103819,101129,100543,98448,99637,96388,90602,85487,83373,81345,78882,80722,87367,91672,91103,91212,92250,92575,95660,95512,94700,98796
