year,age_group2,N
2002,0,15
2002,18,53
2002,20,599
2002,25,1007
2002,30,1035
2002,35,650
2002,40,287
2002,45,125
2002,50,47
2002,55,10
2002,60,10
2003,0,16
2003,18,47
2003,20,806
2003,25,1351
2003,30,1368
2003,35,936
2003,40,375
2003,45,133
2003,50,50
2003,55,16
2003,60,10
2004,0,10
2004,18,44
2004,20,599
2004,25,1137
2004,30,1236
2004,35,899
2004,40,415
2004,45,158
2004,50,79
2004,55,24
2004,60,10
2005,0,10
2005,18,27
2005,20,408
2005,25,894
2005,30,1171
2005,35,898
2005,40,429
2005,45,168
2005,50,75
2005,55,15
2005,60,10
2006,0,10
2006,18,12
2006,20,364
2006,25,918
2006,30,1117
2006,35,955
2006,40,497
2006,45,161
2006,50,84
2006,55,24
2006,60,10
2007,0,10
2007,18,23
2007,20,269
2007,25,830
2007,30,992
2007,35,950
2007,40,543
2007,45,217
2007,50,65
2007,55,35
2007,60,10
2008,0,10
2008,18,18
2008,20,238
2008,25,771
2008,30,940
2008,35,1002
2008,40,612
2008,45,242
2008,50,93
2008,55,44
2008,60,10
2009,0,10
2009,18,11
2009,20,174
2009,25,606
2009,30,848
2009,35,894
2009,40,635
2009,45,276
2009,50,90
2009,55,39
2009,60,16
2010,0,10
2010,18,14
2010,20,156
2010,25,562
2010,30,856
2010,35,917
2010,40,673
2010,45,286
2010,50,108
2010,55,60
2010,60,17
2011,18,10
2011,20,123
2011,25,409
2011,30,802
2011,35,847
2011,40,625
2011,45,272
2011,50,107
2011,55,50
2011,60,23
2012,0,10
2012,18,10
2012,20,103
2012,25,423
2012,30,838
2012,35,820
2012,40,673
2012,45,334
2012,50,101
2012,55,31
2012,60,23
2013,0,10
2013,18,10
2013,20,92
2013,25,433
2013,30,935
2013,35,953
2013,40,760
2013,45,409
2013,50,154
2013,55,39
2013,60,13
2014,0,10
2014,18,10
2014,20,101
2014,25,454
2014,30,1031
2014,35,1052
2014,40,927
2014,45,533
2014,50,230
2014,55,62
2014,60,28
2015,0,10
2015,18,10
2015,20,94
2015,25,463
2015,30,1108
2015,35,1253
2015,40,1063
2015,45,659
2015,50,297
2015,55,94
2015,60,38
2016,18,10
2016,20,97
2016,25,443
2016,30,1193
2016,35,1508
2016,40,1308
2016,45,807
2016,50,381
2016,55,130
2016,60,47
2017,18,10
2017,20,75
2017,25,513
2017,30,1126
2017,35,1678
2017,40,1344
2017,45,903
2017,50,408
2017,55,137
2017,60,53
2018,0,10
2018,18,10
2018,20,73
2018,25,452
2018,30,1107
2018,35,1749
2018,40,1479
2018,45,1126
2018,50,526
2018,55,168
2018,60,50
2019,18,10
2019,20,72
2019,25,378
2019,30,1050
2019,35,1712
2019,40,1572
2019,45,1137
2019,50,637
2019,55,253
2019,60,88
2020,0,10
2020,18,10
2020,20,55
2020,25,243
2020,30,604
2020,35,1175
2020,40,1292
2020,45,899
2020,50,499
2020,55,218
2020,60,77
2021,0,10
2021,20,32
2021,25,181
2021,30,557
2021,35,981
2021,40,1173
2021,45,839
2021,50,519
2021,55,243
2021,60,85
2022,18,10
2022,20,39
2022,25,178
2022,30,476
2022,35,837
2022,40,1051
2022,45,780
2022,50,545
2022,55,271
2022,60,93
