year,age_group,admissions
2000,25,1190
2000,34,628
2000,15,322
2000,44,124
2001,25,1329
2001,34,909
2001,15,460
2001,44,156
2000,54,10
2001,54,14
2002,25,1942
2002,34,1160
2002,15,693
2002,44,232
1999,34,488
2003,15,904
2003,25,2575
2003,34,1614
2003,44,228
2003,54,24
2002,54,13
1999,25,925
2004,25,2290
2004,44,293
2004,34,1563
2004,15,675
2004,54,34
2005,34,1565
2005,44,308
2005,15,459
2005,25,1961
2005,54,25
2006,34,1695
2006,54,46
2006,25,1978
2006,44,328
2006,15,416
2007,25,1777
2007,44,385
2007,34,1717
2007,15,316
2007,54,56
2008,15,276
2008,25,1635
2008,44,449
2008,34,1858
2008,54,66
2009,25,1367
2009,44,479
2009,34,1737
2009,15,194
2009,54,77
2010,25,1358
2010,34,1745
2010,54,97
2010,44,548
2010,15,183
2011,54,89
2011,44,507
2011,34,1641
2011,15,135
2011,25,1134
2012,34,1656
2012,25,1197
2012,44,564
2012,15,125
2012,54,65
2013,34,1909
2013,44,698
2013,25,1234
2013,15,108
2013,54,72
2014,15,110
2014,44,913
2014,34,2146
2014,25,1349
2014,54,135
2015,44,1162
2015,34,2569
2015,25,1376
2015,54,184
2015,15,101
2016,44,1431
2016,34,3060
2016,54,236
2016,25,1390
2016,15,112
2017,54,279
2017,25,1382
2017,34,3251
2017,44,1600
2017,15,90
2018,34,3400
2018,25,1324
2018,54,302
2018,44,1961
2018,15,82
2019,44,2095
2019,34,3473
2019,25,1153
2019,54,466
2019,15,75
2020,44,2201
2020,54,551
2020,34,3406
2020,25,903
2020,15,78
2021,44,2444
2021,54,646
2021,34,3208
2021,25,953
2021,15,61
1998,25,687
1998,34,361
1998,44,74
1998,15,202
1999,15,223
1999,54,10
1999,44,96
1998,54,10
