year,age_group,admissions
2002,25,2048
2002,35,940
2002,15,668
2002,45,168
2003,25,2719
2003,15,870
2003,35,1312
2003,45,179
2002,54,13
2003,54,22
2004,35,1318
2004,25,2380
2004,15,650
2004,45,231
2004,54,33
2005,25,2066
2005,35,1332
2005,15,441
2005,45,236
2005,54,25
2006,15,384
2006,35,1454
2006,25,2038
2006,45,234
2006,54,44
2007,25,1826
2007,35,1498
2007,15,297
2007,45,269
2007,54,53
2008,45,328
2008,35,1627
2008,15,257
2008,25,1716
2008,54,62
2009,25,1459
2009,15,186
2009,35,1542
2009,45,350
2009,54,72
2010,25,1423
2010,35,1596
2010,15,174
2010,45,386
2010,54,92
2011,25,1212
2011,45,367
2011,35,1473
2011,15,128
2011,54,86
2012,54,65
2012,25,1264
2012,35,1488
2012,45,426
2012,15,109
2013,45,544
2013,35,1714
2013,25,1364
2013,54,69
2013,15,97
2014,25,1488
2014,35,1975
2014,45,727
2014,54,125
2014,15,108
2015,45,916
2015,35,2304
2015,25,1574
2015,15,97
2015,54,166
2016,35,2813
2016,25,1633
2016,45,1133
2016,54,227
2016,15,104
2017,35,3018
2017,45,1259
2017,15,86
2017,25,1641
2017,54,244
2018,35,3234
2018,25,1557
2018,45,1584
2018,54,280
2018,15,77
2019,45,1672
2019,35,3285
2019,54,437
2019,25,1432
2019,15,75
2020,35,2457
2020,15,59
2020,54,373
2020,25,846
2020,45,1301
2021,25,736
2021,35,2146
2021,54,398
2021,45,1282
2021,15,35
