year,age_group,admissions
2002,34,1104
2002,15,674
2002,25,1869
2002,44,217
2003,15,873
2003,25,2485
2003,34,1537
2002,54,13
2003,44,224
2004,34,1508
2004,25,2164
2004,15,652
2004,44,279
2003,54,22
2005,15,449
2005,34,1503
2005,44,296
2005,25,1858
2004,54,33
2005,54,25
2006,25,1842
2006,34,1616
2006,15,387
2006,44,322
2007,25,1639
2007,44,353
2007,34,1639
2006,54,44
2007,54,53
2007,15,303
2008,34,1758
2008,15,258
2008,25,1531
2008,44,419
2008,54,62
2009,25,1275
2009,34,1637
2009,44,455
2009,15,186
2009,54,72
2010,34,1651
2010,25,1269
2010,15,176
2010,44,516
2010,54,92
2011,25,1054
2011,34,1537
2011,44,471
2011,54,86
2011,15,128
2012,34,1530
2012,25,1129
2012,44,531
2012,15,111
2012,54,65
2013,34,1814
2013,25,1158
2013,44,658
2013,15,99
2014,34,2038
2014,44,876
2014,25,1282
2014,54,125
2013,54,69
2014,15,108
2015,34,2427
2015,44,1099
2015,25,1300
2015,54,167
2016,34,2928
2015,15,97
2016,25,1323
2016,44,1364
2016,54,227
2016,15,108
2017,25,1330
2017,34,3097
2017,44,1521
2017,15,86
2017,54,246
2018,34,3258
2018,25,1279
2018,44,1873
2018,54,280
2018,15,77
2019,54,440
2019,34,3329
2019,25,1125
2019,44,1987
2019,15,75
2020,34,2392
2020,44,1567
2020,25,668
2020,54,377
2020,15,59
2021,54,392
2021,34,2082
2021,25,601
2021,44,1471
2021,15,35
