region,year,q0.05,q0.25,q0.5,q0.75,q0.95
North East,2002,21,24,29,34,42.4
North West,2002,22,28,32,36,44
Yorkshire & Humber,2002,20,24,28,33,40
East Midlands,2002,20,25,29,35,41
West Midlands,2002,21,25,29,33,41.95
East of England,2002,21,27,32,37,48.4
London,2002,22.1,30,35,40,49
South East,2002,22,27,31,37,43
South West,2002,22,27,31,37,46
No fixed abode,2002,21,25,30,35,43
Unknown,2002,21,28,33,38,48.1
North East,2003,20,24,28,32,40
North West,2003,23,28,32,36,44
Yorkshire & Humber,2003,20.3,25,29,33,40
East Midlands,2003,21,25,29,34,41
West Midlands,2003,21,24,30,35,43
East of England,2003,22,26,32,36,43
London,2003,23.7,30,34,39,48
South East,2003,22,27,32,37,45.85
South West,2003,22,26,31,36,44.85
No fixed abode,2003,22,26,30,36,41
Unknown,2003,20.65,28,33,36,41
North East,2004,20,25,29,33,41
North West,2004,23,29,33,38,47
Yorkshire & Humber,2004,21,26,30,35,42
East Midlands,2004,22,25,29,33,42
West Midlands,2004,22,25,29,34,43
East of England,2004,21,26,32,37,46.1
London,2004,24,31,37,42,51.6
South East,2004,23,27,32,37,47
South West,2004,22.2,27,32,37,44
No fixed abode,2004,23,27,31,35,42.45
Unknown,2004,23,30,34,37,41.8
North East,2005,22.05,26,30,34,45
North West,2005,24,30,34,39,46
Yorkshire & Humber,2005,22,26,30,35,42
East Midlands,2005,22,26,30,34,43
West Midlands,2005,21,26,30,36,48
East of England,2005,20,28,32,37,46
London,2005,25,31,36,41,50.4
South East,2005,23,27,32,39,49
South West,2005,23,28,33,37,44
No fixed abode,2005,23.6,30,33,38,41.4
Unknown,2005,25,27,32,38,44
North East,2006,23,27,31,35,43
North West,2006,24,31,35,39,46
Yorkshire & Humber,2006,23,26,31,35,43
East Midlands,2006,22,27,31,35,43
West Midlands,2006,22,26,29,35,43
East of England,2006,24.25,29,34.5,40,48
London,2006,26,33,38,42,52
South East,2006,22,26,33,40,50
South West,2006,23,27,32,37,44.5
No fixed abode,2006,25.45,31,33,37,43
Unknown,2006,23,28.75,33,40,47
North East,2007,23,28,32,36,43.15
North West,2007,25,31,35,40,47
Yorkshire & Humber,2007,23,27,32,36,45
East Midlands,2007,23,27,31,37,44
West Midlands,2007,21,27,31,36,43.1
East of England,2007,25,29,34,40,45
London,2007,25,32,38,43,51
South East,2007,24,29,35,39,49
South West,2007,24,28,32,38,47
No fixed abode,2007,21,28.5,35,38,44
Unknown,2007,24.8,30.5,34,39,46.1
North East,2008,22,28,32,36,44
North West,2008,25.55,32,36,41,48
Yorkshire & Humber,2008,24,29,33,38,46
East Midlands,2008,23,28,33,38,43
West Midlands,2008,23,27,32,37,47
East of England,2008,25,31,36,42,50
London,2008,26.8,33,39,44,54
South East,2008,24,30,36,41,49.25
South West,2008,23,28,33,39,48
No fixed abode,2008,23.25,29,34,37,45
Unknown,2008,27.45,33.25,37.5,41,45
North East,2009,23.6,28,33,37,43
North West,2009,26,33,37,42,49
Yorkshire & Humber,2009,25,29,34,38,46
East Midlands,2009,25,29,33,38,45.95
West Midlands,2009,23,28,33,39,47
East of England,2009,26,31,36,41,51
London,2009,25,34,40,44,54.8
South East,2009,24,32,36,40.75,50
South West,2009,23,29,34,40,48.35
No fixed abode,2009,24,31,35,39,46
Unknown,2009,26.7,31,36,39.5,47.9
North East,2010,25,29,33,38,45
North West,2010,27,33,38,43,50
Yorkshire & Humber,2010,25,30,34,39,47
East Midlands,2010,24,28,33,37,45.75
West Midlands,2010,23,29,33,39,47
East of England,2010,23,30,35,41,53
London,2010,28,34.75,40,45,55
South East,2010,25,31,36,42,51.3
South West,2010,23,30,35,41,49.15
No fixed abode,2010,24,30,35,40,45
Unknown,2010,22.95,30,36,40,49.45
North East,2011,26,30,34,39,45
North West,2011,26,34,39,43,50
Yorkshire & Humber,2011,25,31,35,39,47
East Midlands,2011,24,30,34,38,46.55
West Midlands,2011,24,29,33,38.5,47
East of England,2011,28,33,36,41,53
London,2011,26,33,39,45,56
South East,2011,25,32,37,43,52
South West,2011,25,31,36,42,51
No fixed abode,2011,23.6,30,36,41,48
Unknown,2011,25,32,37,40.75,48
North East,2012,27,31,35,38,45
North West,2012,26,33,39,43,49
Yorkshire & Humber,2012,26,31,34,40,48
East Midlands,2012,26,30,34,38,47.95
West Midlands,2012,25,30,34,40,47.55
East of England,2012,27,33,37.5,43,50.55
London,2012,24,32,38,43,53.75
South East,2012,26,32,37,42,51
South West,2012,23.6,30,37,43,50
No fixed abode,2012,27,32,37,41,44
Unknown,2012,27,33,37,41,49
North East,2013,26.6,31,35,39,47
North West,2013,27,34,39,44,50
Yorkshire & Humber,2013,26,32,35,40.5,47.6999999999999
East Midlands,2013,26,31,35,40,47.1
West Midlands,2013,25.3,31,35,40,50
East of England,2013,27.95,32,37,43,51
London,2013,27,34,41,45.5,55
South East,2013,27,33,38,43,51
South West,2013,24,31,36,41,49
No fixed abode,2013,26,32,38,42,49
Unknown,2013,25.85,31.25,37,43,48
North East,2014,27,32,36,40,48
North West,2014,28,35,40,45,52
Yorkshire & Humber,2014,27,32,36,41,48.5999999999999
East Midlands,2014,25,31,35,41,48
West Midlands,2014,26,32,36,41,49
East of England,2014,28,31,36,42,54
London,2014,27,35,42,48,57
South East,2014,26,32,38,44,52
South West,2014,25,32,36,42,50
No fixed abode,2014,25,32,38,42,47.1
