region,year,q0.05,q0.25,q0.5,q0.75,q0.95
East Midlands,2002,20,25,29,35,41
East of England,2002,21,27,32,37,48.55
London,2002,22,30,35,40,49
No fixed abode,2002,21,25,30,35,43
North East,2002,21,24,28.5,33,42.75
North West,2002,23,28,32,36,44
South East,2002,22,27,31,37,43
South West,2002,22,27,31,37,46
Unknown,2002,21,28,33,38,48.1
West Midlands,2002,20.8,25,29,33,42.2
Yorkshire & Humber,2002,20,24,28,33,40
East Midlands,2003,21,24.5,29,34,41
East of England,2003,22,26,32,36,43
London,2003,23.7,30,34,39,48
No fixed abode,2003,22,26,30,36,41
North East,2003,20,24,28,32,40
North West,2003,23,28,32,36,44
South East,2003,22,27,32,37,46
South West,2003,22,26,31,36,45
Unknown,2003,20.65,28,33,36,41
West Midlands,2003,21,24,29,35,43
Yorkshire & Humber,2003,21,25,29,33,40
East Midlands,2004,22,25,29,33,42
East of England,2004,21,26,32,37,46
London,2004,24,31,37,42,51.75
No fixed abode,2004,23,27,31,35,42
North East,2004,20,25,29,33,41
North West,2004,23,29,33,38,47
South East,2004,23,27,32,37,47
South West,2004,22,27,32,37,44
Unknown,2004,23,30,34,37,41.8
West Midlands,2004,22,25,29,34,43
Yorkshire & Humber,2004,21,26,30,35,41
East Midlands,2005,22,26,30,34,43
East of England,2005,20,28,32,37,46
London,2005,25,31,36,40.5,48
No fixed abode,2005,23.5,30,33,37.5,41.5
North East,2005,22.15,26,30,34,45
North West,2005,24,30,34,39,46
South East,2005,23,27,32,39,49
South West,2005,23,28,33,37,44
Unknown,2005,25,27,32,38,44
West Midlands,2005,21,26,30,36,48
Yorkshire & Humber,2005,22,26,30,35,42
East Midlands,2006,22.85,27,31,35,43
East of England,2006,24.25,29,34.5,40,48
London,2006,26,33,38,42,52
No fixed abode,2006,25,31,33,37,43
North East,2006,23,27,31,35,43
North West,2006,24,31,35,39,46
South East,2006,22,26,34,40,50
South West,2006,23,27,32,37,44.75
Unknown,2006,23,29,33,40,47.4
West Midlands,2006,22,26,30,35,43
Yorkshire & Humber,2006,23,26,31,35,43
East Midlands,2007,23,27,31,37,44
East of England,2007,25,29,34,40,45
London,2007,25,32,38,43,51
No fixed abode,2007,21,29,35,38,44
North East,2007,23,28,32,36,43.15
North West,2007,25,31,35,40,47
South East,2007,23.9,29,35,39,49
South West,2007,24,28,32,38,46.4
Unknown,2007,24.4,31,34,39,46.3
West Midlands,2007,21,27,31,36,43.4
Yorkshire & Humber,2007,23,27,32,36,45
East Midlands,2008,23,28,33,38,43
East of England,2008,25,31,36,42,50
London,2008,26.7,33,39,44,54
No fixed abode,2008,23.15,29,34,37,45
North East,2008,22,28,32,36,44
North West,2008,25,32,36,41,48
South East,2008,24,30,36,41,49.7
South West,2008,23,29,33,39,48
Unknown,2008,27.4,34,38,41,45
West Midlands,2008,23,27,32,37,47
Yorkshire & Humber,2008,24,29,33,38,46
