year,mth,all_drd,opioid_drd,non_opioid_drd,abscess,cellulitis,other_ssti,phlebitis,irid,cocci,tcodes,time,covid,sstvi,invasive
2012,Jan,214,112,102,91,61,31,80,292,824,798,1,FALSE,263,29
2012,Feb,245,127,118,81,65,21,65,254,758,666,2,FALSE,232,22
2012,Mar,198,110,88,91,62,22,86,292,808,724,3,FALSE,261,31
2012,Apr,220,124,96,81,51,17,75,254,773,999,4,FALSE,224,30
2012,May,229,129,100,82,68,22,69,270,868,1098,5,FALSE,241,29
2012,Jun,232,125,107,77,53,30,65,251,852,1096,6,FALSE,225,26
2012,Jul,241,128,113,90,90,22,79,319,863,1137,7,FALSE,281,38
2012,Aug,267,145,122,99,74,30,72,305,899,1069,8,FALSE,275,30
2012,Sep,212,115,97,104,62,31,57,281,911,1134,9,FALSE,254,27
2012,Oct,218,118,100,84,68,26,48,256,916,1054,10,FALSE,226,30
2012,Nov,219,130,89,112,46,33,61,287,859,1051,11,FALSE,252,35
2012,Dec,238,140,98,108,55,21,75,291,804,955,12,FALSE,259,32
2013,Jan,257,147,110,90,39,34,84,277,844,1011,13,FALSE,247,30
2013,Feb,246,142,104,81,56,22,63,246,743,957,14,FALSE,222,24
2013,Mar,292,168,124,101,58,21,59,269,829,1085,15,FALSE,239,30
2013,Apr,289,153,136,115,60,22,71,295,923,1080,16,FALSE,268,27
2013,May,257,151,106,116,56,28,66,309,943,1269,17,FALSE,266,43
2013,Jun,260,161,99,103,84,32,63,317,914,1285,18,FALSE,282,35
2013,Jul,257,134,123,106,86,33,101,372,998,1376,19,FALSE,326,46
2013,Aug,259,144,115,118,88,30,101,380,925,1361,20,FALSE,337,43
2013,Sep,240,119,121,130,83,33,61,349,984,1170,21,FALSE,307,42
2013,Oct,252,143,109,119,73,33,63,330,908,1200,22,FALSE,288,42
2013,Nov,238,123,115,108,75,34,60,326,885,1191,23,FALSE,277,49
2013,Dec,268,147,121,112,73,30,67,323,889,1043,24,FALSE,282,41
2014,Jan,280,156,124,113,61,31,82,319,912,1229,25,FALSE,287,32
2014,Feb,257,145,112,98,55,26,76,297,806,1108,26,FALSE,255,42
2014,Mar,240,144,96,119,68,34,72,328,891,1224,27,FALSE,293,35
2014,Apr,266,169,97,117,87,42,78,372,936,1226,28,FALSE,324,48
2014,May,277,163,114,131,85,40,79,389,1034,1335,29,FALSE,335,54
2014,Jun,315,156,159,107,89,40,87,377,952,1252,30,FALSE,323,54
2014,Jul,303,169,134,119,88,38,83,375,1057,1303,31,FALSE,328,47
2014,Aug,258,136,122,134,75,51,75,388,996,1271,32,FALSE,335,53
2014,Sep,247,136,111,145,94,46,85,412,1005,1240,33,FALSE,370,42
2014,Oct,290,162,128,127,91,41,89,409,999,1166,34,FALSE,348,61
2014,Nov,278,143,135,168,88,26,68,403,950,1152,35,FALSE,350,53
2014,Dec,295,166,129,114,89,25,77,355,898,948,36,FALSE,305,50
2015,Jan,319,174,145,130,68,22,97,367,949,1044,37,FALSE,317,50
2015,Feb,301,174,127,128,71,23,59,339,878,1028,38,FALSE,281,58
2015,Mar,329,183,146,113,72,33,68,334,998,1164,39,FALSE,286,48
2015,Apr,315,191,124,138,80,35,86,400,1005,1209,40,FALSE,339,61
2015,May,324,169,155,154,75,31,95,417,959,1328,41,FALSE,355,62
2015,Jun,310,167,143,148,104,53,95,466,1023,1326,42,FALSE,400,66
2015,Jul,307,168,139,148,93,41,109,457,1115,1334,43,FALSE,391,66
2015,Aug,325,186,139,148,115,44,100,480,1078,1299,44,FALSE,407,73
2015,Sep,309,168,141,153,99,43,92,450,1051,1225,45,FALSE,387,63
2015,Oct,290,160,130,161,105,46,78,457,1019,1250,46,FALSE,390,67
2015,Nov,272,155,117,161,95,38,80,441,1054,1194,47,FALSE,374,67
2015,Dec,346,201,145,166,118,27,100,466,987,1061,48,FALSE,411,55
2016,Jan,323,177,146,174,91,41,100,451,1075,1026,49,FALSE,406,45
2016,Feb,324,187,137,152,92,44,95,444,982,1015,50,FALSE,383,61
2016,Mar,341,204,137,176,102,40,93,460,1052,1107,51,FALSE,411,49
2016,Apr,331,196,135,159,83,38,91,430,1070,1063,52,FALSE,371,59
2016,May,359,197,162,144,105,38,96,441,1158,1232,53,FALSE,383,58
2016,Jun,331,171,160,180,126,59,84,532,1101,1263,54,FALSE,449,83
2016,Jul,325,173,152,208,118,55,103,558,1215,1193,55,FALSE,484,74
2016,Aug,353,204,149,199,104,46,90,515,1156,1192,56,FALSE,439,76
2016,Sep,293,158,135,199,138,40,89,549,1186,1191,57,FALSE,466,83
2016,Oct,339,193,146,176,115,54,101,529,1008,1078,58,FALSE,446,83
2016,Nov,317,163,154,165,100,47,87,465,1074,1025,59,FALSE,399,66
2016,Dec,335,176,159,201,112,46,102,549,1032,1001,60,FALSE,461,88
2017,Jan,328,174,154,182,90,60,80,476,1017,960,61,FALSE,412,64
2017,Feb,289,154,135,149,87,39,91,446,938,952,62,FALSE,366,80
2017,Mar,345,186,159,185,96,53,93,510,1015,1203,63,FALSE,427,83
2017,Apr,357,197,160,174,101,38,73,527,1014,1154,64,FALSE,386,141
2017,May,369,203,166,196,123,64,89,596,1110,1234,65,FALSE,472,124
2017,Jun,300,156,144,186,106,49,89,577,1025,1286,66,FALSE,430,147
2017,Jul,324,171,153,175,124,58,98,605,1064,1365,67,FALSE,455,150
2017,Aug,312,170,142,180,103,56,75,558,1019,1290,68,FALSE,414,144
2017,Sep,304,161,143,200,98,47,72,537,1115,1163,69,FALSE,417,120
2017,Oct,348,173,175,158,109,49,78,527,1082,1218,70,FALSE,394,133
2017,Nov,339,181,158,165,75,36,74,443,999,1139,71,FALSE,350,93
2017,Dec,430,234,196,150,74,36,81,443,1027,942,72,FALSE,341,102
2018,Jan,377,190,187,171,98,31,61,503,976,972,73,FALSE,361,142
2018,Feb,346,173,173,148,97,50,68,473,1005,975,74,FALSE,363,110
2018,Mar,413,207,206,141,122,28,79,481,1094,1097,75,FALSE,370,111
2018,Apr,399,200,199,187,112,65,75,556,1119,1162,76,FALSE,439,117
2018,May,428,223,205,169,107,70,81,578,1244,1345,77,FALSE,427,151
2018,Jun,350,185,165,186,126,51,76,570,1148,1318,78,FALSE,439,131
2018,Jul,377,184,193,177,142,65,87,605,1219,1372,79,FALSE,471,134
2018,Aug,375,165,210,207,153,69,99,667,1235,1384,80,FALSE,528,139
2018,Sep,373,188,185,182,123,68,90,579,1149,1266,81,FALSE,463,116
2018,Oct,398,200,198,210,129,63,101,624,1237,1205,82,FALSE,503,121
2018,Nov,389,221,168,182,122,60,92,579,1153,1188,83,FALSE,456,123
2018,Dec,361,194,167,181,127,48,77,519,1165,1120,84,FALSE,433,86
2019,Jan,,,,188,120,62,82,558,1136,1102,85,FALSE,452,106
2019,Feb,,,,178,113,47,81,519,957,1005,86,FALSE,419,100
2019,Mar,,,,186,110,61,84,517,1165,1174,87,FALSE,441,76
2019,Apr,,,,188,123,61,83,552,1193,1072,88,FALSE,455,97
2019,May,,,,181,161,59,73,587,1265,1289,89,FALSE,474,113
2019,Jun,,,,182,142,68,92,601,1259,1255,90,FALSE,484,117
2019,Jul,,,,195,144,72,95,651,1321,1282,91,FALSE,506,145
2019,Aug,,,,189,138,70,76,602,1208,1263,92,FALSE,473,129
2019,Sep,,,,195,148,64,96,610,1243,1140,93,FALSE,503,107
2019,Oct,,,,203,141,85,79,621,1196,1208,94,FALSE,508,113
2019,Nov,,,,177,142,78,77,575,1213,1058,95,FALSE,474,101
2019,Dec,,,,167,112,58,70,509,1108,898,96,FALSE,407,102
2020,Jan,,,,175,137,57,80,548,1207,1053,97,FALSE,449,99
2020,Feb,,,,159,131,53,64,516,1162,1017,98,FALSE,407,109
2020,Mar,,,,141,106,36,51,419,963,975,99,TRUE,334,85
2020,Apr,,,,66,75,30,58,296,609,894,100,TRUE,229,67
2020,May,,,,122,112,40,72,421,914,1142,101,TRUE,346,75
2020,Jun,,,,121,96,69,79,449,973,1213,102,TRUE,365,84
2020,Jul,,,,154,103,62,75,496,1120,1295,103,TRUE,394,102
2020,Aug,,,,119,111,53,56,424,1073,1268,104,TRUE,339,85
2020,Sep,,,,120,95,49,65,411,1136,976,105,TRUE,329,82
2020,Oct,,,,107,86,37,51,346,1122,949,106,TRUE,281,65
2020,Nov,,,,109,101,32,56,377,1071,936,107,TRUE,298,79
2020,Dec,,,,96,101,31,58,363,996,823,108,TRUE,286,77
2021,Jan,,,,121,74,39,50,347,899,802,109,TRUE,284,63
2021,Feb,,,,121,90,40,66,395,903,932,110,TRUE,317,78
2021,Mar,,,,106,101,41,78,412,1037,1038,111,TRUE,326,86
2021,Apr,,,,112,99,52,76,400,1116,1016,112,TRUE,339,61
2021,May,,,,133,125,58,57,439,1173,1094,113,TRUE,373,66
2021,Jun,,,,111,89,50,60,377,1135,1031,114,TRUE,310,67
2021,Jul,,,,98,119,44,65,397,1074,956,115,TRUE,326,71
2021,Aug,,,,111,73,40,50,362,1072,886,116,TRUE,274,88
2021,Sep,,,,115,74,53,60,395,1024,866,117,TRUE,302,93
2021,Oct,,,,126,96,40,69,412,1051,755,118,TRUE,331,81
2021,Nov,,,,95,87,31,57,333,1062,720,119,TRUE,270,63
2021,Dec,,,,111,87,38,44,342,1046,680,120,TRUE,280,62
