AdmiMonth,all_cause,substances,asthma,appendix,infections,resp_infections,diabetes,covid
Jan 2018,219720,2682,3007,2803,10049,17008,2746,
Feb 2018,200300,2429,2563,2465,8935,13729,2287,
Mar 2018,224901,2782,2584,2745,9521,13758,2539,
Apr 2018,224428,3389,2324,2712,8876,11125,2421,
May 2018,238580,3871,2337,2889,9430,10055,2568,
Jun 2018,234438,3889,2315,2828,9367,8729,2427,
Jul 2018,243637,3930,2151,3007,10084,8674,2428,
Aug 2018,240583,3924,1962,2923,9794,7958,2535,
Sep 2018,230599,3600,2852,2730,8868,8823,2367,
Oct 2018,243020,3637,3210,2935,9485,10295,2684,
Nov 2018,236251,3416,2983,2710,8841,10509,2625,
Dec 2018,230907,3395,3368,2544,9345,14926,2696,
Jan 2019,246238,3158,3644,2835,9678,19729,2771,
Feb 2019,220547,2784,2915,2542,8372,16796,2349,
Mar 2019,245189,3633,2674,2774,9075,12483,2467,
Apr 2019,237061,3748,2746,2666,9248,12405,2573,
May 2019,248417,3971,2416,2859,9694,10548,2700,
Jun 2019,241029,4021,2410,2961,9544,9666,2450,
Jul 2019,253444,4144,2668,2994,10189,9654,2541,10
Aug 2019,244176,4100,2216,2830,9703,9031,2582,10
Sep 2019,241732,3637,2846,2871,9146,9599,2595,
Oct 2019,252614,3491,3678,2878,9601,12129,2856,
Nov 2019,240993,3109,3328,2877,9279,13609,2788,
Dec 2019,230155,2960,3499,2482,9009,19071,2863,
Jan 2020,245540,3342,3015,2905,8720,16594,2876,10
Feb 2020,229125,3057,2634,2632,8073,13717,2561,47
Mar 2020,191144,2631,2169,2249,6101,11020,2230,7705
Apr 2020,145733,2259,1164,1966,3784,4858,1753,15868
May 2020,186041,3556,1161,2538,4849,4030,2264,3651
Jun 2020,208695,3995,1357,2794,5653,4084,2487,1342
Jul 2020,227860,4346,1191,2960,6210,4398,2657,656
Aug 2020,224021,4134,1388,2774,6669,4699,2548,550
Sep 2020,221041,3717,2222,2776,6062,5713,2514,2055
Oct 2020,219996,3178,1762,2931,5808,5409,2601,6588
Nov 2020,210074,3015,1388,2774,5424,4282,2485,9554
Dec 2020,206024,3030,1251,2644,5273,4431,2648,15004
Jan 2021,206534,2577,1081,2648,4541,3745,2522,31910
Feb 2021,198893,2770,1158,2399,4710,3677,2418,11223
Mar 2021,239288,3550,1476,2874,5879,4551,2824,3869
Apr 2021,242011,3795,1679,2894,6398,5197,2831,1368
May 2021,251862,3954,1751,2965,7107,5842,2860,1025
Jun 2021,247018,3687,2062,2944,7364,6156,2582,2889
Jul 2021,244677,3509,1850,2910,7207,6336,2584,9516
Aug 2021,231086,3284,1521,2711,7053,6199,2617,8862
Sep 2021,230985,3071,2412,2805,6986,7127,2544,6667
Oct 2021,229862,2907,3037,2733,7050,9510,2891,7331
Nov 2021,226108,2638,2636,2683,6677,9200,2806,7336
Dec 2021,215816,2649,2113,2477,6529,9129,2701,8825
Jan 2022,218418,2785,1716,2839,6035,6879,2767,6528
Feb 2022,205960,2433,1761,2530,6158,6565,2280,2685
Mar 2022,218619,1991,1521,2167,5268,6263,2042,3224
