admiMonth,all_cause,substances,alcohol,appendix,asthma,diabetes,dorsopathies,episodic_paroxysmal,enteritis,urinary
Jan 1998,142039,2123,1681,2064,2239,1235,1578,2248,1547,157
Feb 1998,131027,1755,1375,1761,2499,1003,1395,2027,1445,152
Mar 1998,147998,2175,1644,1947,2329,1146,1570,2282,1579,185
Apr 1998,138358,2149,1643,1942,1978,1136,1496,2222,1544,167
May 1998,140836,2413,1901,2007,1701,1139,1603,2252,1637,136
Jun 1998,142937,2252,1744,2050,1919,1141,1653,2336,1684,166
Jul 1998,148419,2342,1791,2002,2030,1121,1620,2442,1784,161
Aug 1998,142093,2372,1846,1930,1783,1096,1550,2383,1813,155
Sep 1998,144252,2194,1706,2088,2194,1229,1610,2430,1666,170
Oct 1998,145730,2200,1697,2059,2527,1242,1676,2450,1619,166
Nov 1998,141683,2086,1590,1997,2098,1283,1601,2331,1699,161
Dec 1998,143844,1983,1558,1789,3151,1347,1404,2063,1786,174
Jan 1999,140725,1956,1546,1919,2289,1226,1360,2172,1509,141
Feb 1999,131544,1817,1428,1717,1942,1105,1396,2059,1565,133
Mar 1999,152160,2222,1693,1871,1826,1216,1610,2356,1838,154
Apr 1999,140533,2138,1681,1921,1574,1213,1467,2243,1704,132
May 1999,144476,2288,1793,2063,1638,1136,1595,2415,1700,183
Jun 1999,142699,2300,1796,2003,1760,1265,1560,2155,1679,151
Jul 1999,148195,2439,1881,2167,1605,1239,1547,2297,1810,158
Aug 1999,149465,2277,1812,1999,1880,1270,1541,2408,1934,147
Sep 1999,147988,2283,1820,2130,1930,1200,1612,2429,1754,151
Oct 1999,146239,2114,1689,2072,2363,1319,1596,2340,1703,170
Nov 1999,141864,2010,1596,1956,2049,1232,1538,2259,1683,169
Dec 1999,145755,1925,1597,1762,3572,1428,1363,1966,1615,162
Jan 2000,144319,1993,1626,1936,2305,1408,1428,2052,1494,145
Feb 2000,138119,1939,1592,1886,1647,1152,1469,2135,1713,164
Mar 2000,153247,2154,1696,2144,1613,1247,1733,2372,1834,163
Apr 2000,143139,2032,1628,2066,1716,1236,1664,2150,1786,140
May 2000,151992,2149,1723,2116,1741,1221,1739,2422,1826,142
Jun 2000,147482,2216,1736,2104,1860,1194,1569,2229,1856,158
Jul 2000,149659,2138,1709,2229,1836,1176,1581,2408,1817,171
Aug 2000,152853,2230,1806,2132,1759,1220,1591,2426,1978,155
Sep 2000,146520,2184,1779,2024,1781,1256,1622,2348,1789,151
Oct 2000,152046,2037,1609,2152,2404,1340,1801,2409,1796,161
Nov 2000,145372,1966,1535,2008,1992,1292,1579,2225,1743,128
Dec 2000,141146,2124,1763,1809,1971,1394,1358,2003,1836,141
Jan 2001,150595,1987,1610,2162,2081,1449,1537,2183,1759,138
Feb 2001,134376,1592,1295,1770,1845,1222,1347,1918,1650,129
Mar 2001,150414,1795,1425,1884,1705,1314,1472,2210,1840,118
Apr 2001,144275,2098,1681,1928,1779,1274,1549,2201,1898,142
May 2001,149850,2159,1740,2034,1590,1257,1482,2364,1989,135
Jun 2001,146634,2147,1705,2070,1656,1196,1549,2313,1836,142
Jul 2001,152539,2206,1753,2150,1613,1351,1581,2447,1936,142
Aug 2001,153816,2145,1697,2044,1698,1281,1675,2456,2068,145
Sep 2001,143735,1980,1594,2015,1878,1318,1522,2341,1850,126
