region,year,adj_pe,adj_lower,adj_upper,pe,lower,upper
North West,2002,208.389863009568,194.854854877504,222.080630674333,208.737464703311,195.36557499919,222.562638804181
North East,2002,114.595982290375,96.6762279752019,133.301725904511,111.416961593918,94.6498011971862,128.894132040023
Yorkshire and The Humber,2002,315.246711949396,294.483487706118,336.558797696552,313.227582264869,292.098621094339,334.727226964706
East Midlands,2002,125.906294566625,111.341137516903,140.633351193535,124.902310121001,110.389013522434,139.415606719568
South West,2002,95.8944828402794,85.0978725403511,107.10817344772,92.0046393024284,81.921939104902,102.7175082623
East of England,2002,46.8942980601956,39.8832915548488,54.2235580324316,47.1733099096063,40.0688957665933,54.5619006183398
London,2002,59.7475572696509,53.3680126478311,66.3260571660415,66.5284830938406,59.4842907662575,73.7683474305232
South East,2002,42.2698479094652,36.7357861109008,47.8389289035908,42.5718839624077,37.2265353034507,48.2990432398616
West Midlands,2002,53.4174143639228,45.1732975865957,62.0540888060781,53.3305832176071,44.8541991300405,62.1601499754891
London,2003,73.1454942595032,66.2697649271774,80.2074146152115,83.8762532672727,75.8787500487653,91.6835719580228
South East,2003,59.0200870045064,52.5155967810259,65.7525059765394,59.140237425307,52.6954679622928,65.7745589313511
Yorkshire and The Humber,2003,366.384241810466,345.669108678595,387.296918492851,361.874620191568,341.161258093061,382.587982290075
West Midlands,2003,72.8890603681782,63.9460189122109,82.0852614512414,72.9004876521906,64.221858169787,82.1576924334212
East Midlands,2003,179.572377959987,163.719287553773,195.495604706558,175.956967591307,160.547294258463,191.725005420263
North West,2003,245.283381938125,230.934981840321,259.883845717914,243.175740320673,228.791962704663,257.784264461933
East of England,2003,62.0052403395431,54.0622891403436,70.4139685138888,61.9621963007442,53.7944522429189,70.1299403585696
South West,2003,119.152733718465,107.028426487912,131.623430413336,113.668442892225,102.114233037795,125.222652746654
North East,2003,144.927745671597,125.301413819004,166.083830748558,138.096417603567,118.368357945914,157.842743983124
South West,2004,132.136371179948,119.577373914721,145.265275738953,125.65508545629,113.584769365662,138.034896831294
Yorkshire and The Humber,2004,359.498439038647,337.406560932232,382.305436463741,352.890701988927,330.194412026984,375.586991950871
East Midlands,2004,205.638379125344,187.363224644911,225.634587957228,198.040097908245,180.233861034916,216.280633241899
London,2004,71.6722445521176,64.6014216528804,79.0939381907866,78.0468381734638,70.6875829610777,85.40609338585
East of England,2004,46.520145338302,39.5941464201412,53.6755175439619,46.4316182537796,39.4389046613429,53.7040403899137
West Midlands,2004,78.6825411024293,69.1821382985484,88.1544429335019,76.8429132270829,67.9210768598935,86.3403519405426
North West,2004,220.260876196163,206.472341118843,234.137537051502,216.7156750604,203.324387209088,230.553339173423
South East,2004,60.7688397549685,54.1864365936899,67.5011304727257,60.2406123006436,53.6517953302607,67.017681184466
North East,2004,84.6997383208188,70.20136217405,99.4587273149434,79.8223502580723,66.6186532229024,93.6262153402953
South West,2005,151.184383155288,135.821103313742,166.792488478429,146.205862435171,132.081536299136,161.09366565964
Yorkshire and The Humber,2005,220.782387859148,204.968006522266,237.010718396256,216.505640596473,200.743554124477,232.565124926431
East Midlands,2005,150.915226205887,135.015950866029,167.654186543222,145.405612828733,129.91862448011,160.892601177355
East of England,2005,58.9060681290734,50.3454912002108,67.8860425666325,58.4690955136867,49.9706804680927,67.3074471611045
London,2005,67.97265541565,61.2632700684509,74.8752942492114,76.3514687159401,69.0980791879258,83.9866155875341
North West,2005,213.305700889909,199.668371645096,227.207959932633,209.295511308934,196.006907416303,222.584115201565
South East,2005,53.3746369088054,47.0925937015466,59.6774499981686,52.6775358602791,46.7210653743111,58.8201460489335
