age_group,GOR_NAME,period,N
25,North West,2002,2474
25,North East,2002,421
25,Yorkshire and The Humber,2002,2564
35,Yorkshire and The Humber,2002,942
15,East Midlands,2002,373
35,North West,2002,1734
45,North West,2002,276
25,South West,2002,925
15,North West,2002,367
25,East of England,2002,442
15,East of England,2002,114
25,East Midlands,2002,1035
35,North East,2002,132
25,London,2002,724
25,South East,2002,658
45,Yorkshire and The Humber,2002,108
35,London,2002,851
35,East Midlands,2002,406
35,East of England,2002,291
35,South East,2002,428
25,West Midlands,2002,707
35,South West,2002,522
15,South East,2002,217
15,South West,2002,232
15,Yorkshire and The Humber,2002,877
45,West Midlands,2002,56
15,North East,2002,148
45,East of England,2002,50
45,South West,2002,84
45,London,2002,226
35,West Midlands,2002,260
15,London,2002,99
15,West Midlands,2002,262
45,North East,2002,18
45,East Midlands,2002,49
55,Yorkshire and The Humber,2002,10
55,South East,2002,10
55,London,2002,37
55,West Midlands,2002,10
45,South East,2002,106
55,South West,2002,11
55,East of England,2002,10
55,North West,2002,13
55,East Midlands,2002,10
55,North East,2002,10
25,Yorkshire and The Humber,2007,1618
35,London,2007,686
35,North West,2007,2259
25,North West,2007,1378
15,North East,2007,57
25,South West,2007,785
25,East Midlands,2007,732
15,East of England,2007,33
35,West Midlands,2007,483
25,North East,2007,491
15,East Midlands,2007,111
25,West Midlands,2007,772
35,South East,2007,635
45,North West,2007,550
15,North West,2007,158
35,Yorkshire and The Humber,2007,1210
35,East of England,2007,356
35,South West,2007,647
25,London,2007,397
35,East Midlands,2007,504
45,West Midlands,2007,96
45,London,2007,282
25,South East,2007,512
45,East of England,2007,97
55,South West,2007,27
15,Yorkshire and The Humber,2007,195
45,East Midlands,2007,64
15,London,2007,44
25,East of England,2007,359
45,Yorkshire and The Humber,2007,213
15,West Midlands,2007,150
55,London,2007,70
45,South West,2007,142
15,South West,2007,106
35,North East,2007,325
15,South East,2007,81
55,Yorkshire and The Humber,2007,32
45,South East,2007,173
55,East Midlands,2007,16
55,North West,2007,70
55,South East,2007,27
55,North East,2007,10
45,North East,2007,40
55,West Midlands,2007,16
55,East of England,2007,23
25,South West,2012,707
35,North West,2012,2073
25,North West,2012,937
25,London,2012,379
35,Yorkshire and The Humber,2012,2091
35,South West,2012,964
35,London,2012,703
15,London,2012,38
15,South West,2012,89
35,South East,2012,887
15,West Midlands,2012,51
35,West Midlands,2012,762
45,North West,2012,1018
25,North East,2012,702
45,Yorkshire and The Humber,2012,627
25,Yorkshire and The Humber,2012,1650
25,East Midlands,2012,738
45,London,2012,437
45,South West,2012,401
45,West Midlands,2012,242
25,West Midlands,2012,711
35,North East,2012,865
25,South East,2012,585
45,East Midlands,2012,216
15,North West,2012,70
25,East of England,2012,387
35,East Midlands,2012,743
45,South East,2012,378
45,North East,2012,160
55,North West,2012,109
15,Yorkshire and The Humber,2012,90
35,East of England,2012,530
45,East of England,2012,227
55,South East,2012,45
15,South East,2012,42
55,East of England,2012,50
55,London,2012,95
15,East Midlands,2012,40
55,Yorkshire and The Humber,2012,76
55,North East,2012,10
55,South West,2012,48
55,East Midlands,2012,28
15,North East,2012,24
55,West Midlands,2012,36
15,East of England,2012,35
35,North East,2017,1376
45,North West,2017,1690
35,East of England,2017,573
35,North West,2017,2114
25,West Midlands,2017,629
35,Yorkshire and The Humber,2017,2302
45,Yorkshire and The Humber,2017,1029
45,South East,2017,502
25,North West,2017,769
35,South West,2017,1138
45,South West,2017,550
35,South East,2017,824
25,East Midlands,2017,400
25,North East,2017,634
25,South West,2017,510
25,Yorkshire and The Humber,2017,870
55,South West,2017,88
25,East of England,2017,285
35,West Midlands,2017,1268
45,West Midlands,2017,463
55,North West,2017,269
35,London,2017,677
45,London,2017,562
25,South East,2017,470
35,East Midlands,2017,877
55,Yorkshire and The Humber,2017,128
15,East of England,2017,10
25,London,2017,278
45,North East,2017,432
55,South East,2017,113
15,East Midlands,2017,31
45,East of England,2017,308
45,East Midlands,2017,388
15,Yorkshire and The Humber,2017,30
55,London,2017,215
15,South West,2017,53
15,London,2017,17
55,West Midlands,2017,68
55,East Midlands,2017,53
15,South East,2017,18
55,East of England,2017,62
15,North West,2017,31
55,North East,2017,65
15,North East,2017,34
15,West Midlands,2017,21
25,,2002,9950
35,,2002,5566
15,,2002,2689
45,,2002,973
55,,2002,99
25,,2007,7044
35,,2007,7105
15,,2007,935
45,,2007,1657
55,,2007,290
25,,2012,6796
35,,2012,9618
15,,2012,479
45,,2012,3706
55,,2012,495
35,,2017,11149
45,,2017,5924
25,,2017,4845
55,,2017,1061
15,,2017,243
