variable,level,total
total,1,"92,302 (100.0)"
age_group,15,"4,898 (5.3)"
"",25,"32,382 (35.1)"
"",35,"38,511 (41.7)"
"",45,"13,614 (14.7)"
"",54,"2,897 (3.1)"
STARTAGE,Median [IQR],37 [31-42]
SEX,male,"66,358 (71.9)"
"",female or not known,"25,944 (28.1)"
ETHNOS,White,"78,872 (85.4)"
"",Black,781 (0.8)
"",Asian,634 (0.7)
"",Mixed,779 (0.8)
"",Other or unknown,"11,236 (12.2)"
imd5,1 - most deprived,"33,151 (35.9)"
"",2,"11,941 (12.9)"
"",3,"5,902 (6.4)"
"",4,"3,162 (3.4)"
"",5 - least deprived,"1,622 (1.8)"
"",missing,"36,524 (39.6)"
region,East Midlands,"7,045 (7.6)"
"",East of England,"4,480 (4.9)"
"",London,"7,115 (7.7)"
"",No fixed abode,"5,018 (5.4)"
"",North East,"6,585 (7.1)"
"",North West,"19,470 (21.1)"
"",South East,"7,022 (7.6)"
"",South West,"8,695 (9.4)"
"",Unknown,"2,055 (2.2)"
"",West Midlands,"7,569 (8.2)"
"",Yorkshire & Humber,"17,248 (18.7)"
finalDis,died,732 (0.8)
"",DAMA,"14,899 (16.1)"
"",normal,"73,597 (79.7)"
"",other,"3,074 (3.3)"
diagnosis,abscess,"29,634 (32.1)"
"",cellulitis,"20,046 (21.7)"
"",other_ssti,"8,376 (9.1)"
"",phlebitis,"21,833 (23.7)"
"",endocarditis,"2,152 (2.3)"
"",septicaemia,"6,087 (6.6)"
"",osteo,"3,905 (4.2)"
"",nf,269 (0.3)
period,2002,"21,766 (23.6)"
"",2007,"18,412 (19.9)"
"",2012,"22,566 (24.4)"
"",2017,"29,558 (32.0)"
