variable,level,total,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
total2,total,"92,303 (100.0)","3,827 (100.0)","5,100 (100.0)","4,599 (100.0)","4,093 (100.0)","4,147 (100.0)","3,935 (100.0)","3,970 (100.0)","3,590 (100.0)","3,653 (100.0)","3,264 (100.0)","3,352 (100.0)","3,793 (100.0)","4,424 (100.0)","5,074 (100.0)","5,923 (100.0)","6,245 (100.0)","6,734 (100.0)","6,902 (100.0)","5,066 (100.0)","4,612 (100.0)"
age_group,15,"4,898 (5.3)",667 (17.4),869 (17.0),649 (14.1),441 (10.8),382 (9.2),298 (7.6),257 (6.5),186 (5.2),174 (4.8),129 (4.0),109 (3.3),97 (2.6),107 (2.4),99 (2.0),106 (1.8),83 (1.3),77 (1.1),75 (1.1),59 (1.2),34 (0.7)
age_group,25,"32,382 (35.1)","2,042 (53.4)","2,719 (53.3)","2,373 (51.6)","2,065 (50.5)","2,035 (49.1)","1,822 (46.3)","1,711 (43.1)","1,454 (40.5)","1,418 (38.8)","1,211 (37.1)","1,261 (37.6)","1,368 (36.1)","1,485 (33.6)","1,571 (31.0)","1,636 (27.6)","1,639 (26.2)","1,559 (23.2)","1,428 (20.7)",847 (16.7),738 (16.0)
age_group,35,"38,511 (41.7)",937 (24.5),"1,311 (25.7)","1,314 (28.6)","1,327 (32.4)","1,452 (35.0)","1,493 (37.9)","1,614 (40.7)","1,529 (42.6)","1,590 (43.5)","1,472 (45.1)","1,493 (44.5)","1,713 (45.2)","1,979 (44.7)","2,316 (45.6)","2,816 (47.5)","3,022 (48.4)","3,228 (47.9)","3,284 (47.6)","2,467 (48.7)","2,154 (46.7)"
age_group,45,"14,234 (15.4)",172 (4.5),183 (3.6),237 (5.2),243 (5.9),245 (5.9),282 (7.2),335 (8.4),366 (10.2),394 (10.8),379 (11.6),435 (13.0),563 (14.8),763 (17.2),956 (18.8),"1,188 (20.1)","1,311 (21.0)","1,652 (24.5)","1,774 (25.7)","1,398 (27.6)","1,358 (29.4)"
age_group,55,"2,278 (2.5)",9 (0.2),18 (0.4),26 (0.6),17 (0.4),33 (0.8),40 (1.0),53 (1.3),55 (1.5),77 (2.1),73 (2.2),54 (1.6),52 (1.4),90 (2.0),132 (2.6),177 (3.0),190 (3.0),218 (3.2),341 (4.9),295 (5.8),328 (7.1)
STARTAGE,Median [IQR],37 [31-42],31 [26-36],31 [26-36],31 [27-37],32 [28-38],33 [28-38],34 [29-39],35 [29-40],35 [30-40.75],36 [30-41],36 [31-41],36 [31-42],37 [32-42],37 [32-43],38 [33-44],38 [34-44],39 [34-44],39 [35-45],40 [35-46],41 [36-47],42 [37-48]
STARTAGE,Mean [sd],37.0 [8.2],31.2 [7.1],31.2 [6.8],32.2 [7.2],33.0 [7.0],33.5 [7.2],34.2 [7.3],35.0 [7.4],35.7 [7.5],36.1 [7.6],36.7 [7.6],36.8 [7.4],37.2 [7.3],37.9 [7.6],38.5 [7.6],39.0 [7.6],39.2 [7.6],40.0 [7.5],40.8 [7.8],41.6 [7.8],42.2 [7.9]
SEX,male,"66,359 (71.9)","2,725 (71.2)","3,674 (72.0)","3,259 (70.9)","2,990 (73.1)","3,066 (73.9)","2,822 (71.7)","2,858 (72.0)","2,634 (73.4)","2,680 (73.4)","2,384 (73.0)","2,439 (72.8)","2,689 (70.9)","3,174 (71.7)","3,655 (72.0)","4,287 (72.4)","4,373 (70.0)","4,767 (70.8)","4,872 (70.6)","3,669 (72.4)","3,342 (72.5)"
SEX,female or not known,"25,944 (28.1)","1,102 (28.8)","1,426 (28.0)","1,340 (29.1)","1,103 (26.9)","1,081 (26.1)","1,113 (28.3)","1,112 (28.0)",956 (26.6),973 (26.6),880 (27.0),913 (27.2),"1,104 (29.1)","1,250 (28.3)","1,419 (28.0)","1,636 (27.6)","1,872 (30.0)","1,967 (29.2)","2,030 (29.4)","1,397 (27.6)","1,270 (27.5)"
